		NonSurvivor	Survivor
Age	count	289.0	843.0
Age	mean	65.95847750865052	59.79715302491103
Age	std	13.403655923605918	16.071038599646567
Age	min	19.0	17.0
Age	25%	56.0	49.0
Age	50%	68.0	63.0
Age	75%	77.0	72.0
Age	max	91.0	91.0
MSC	count	289.0	843.0
MSC	mean	0.00044828373702422144	0.0005484614472123368
MSC	std	0.001506272690854403	0.0017702414376635693
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.0	0.0
MSC	max	0.011327	0.015354
Bronchial_Epithelial_cells	count	289.0	843.0
Bronchial_Epithelial_cells	mean	0.02727874740484429	0.023107814946619214
Bronchial_Epithelial_cells	std	0.02114084044540466	0.01834804450799532
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.010112	0.0070965
Bronchial_Epithelial_cells	50%	0.02533	0.02082
Bronchial_Epithelial_cells	75%	0.040222	0.035431500000000005
Bronchial_Epithelial_cells	max	0.116517	0.087975
Fibroblasts	count	289.0	843.0
Fibroblasts	mean	0.0004978754325259516	0.0003596642941874259
Fibroblasts	std	0.0020387999410699533	0.0015530992912706624
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.017259	0.011771
Endothelial_cells	count	289.0	843.0
Endothelial_cells	mean	0.020772474048442905	0.01551873784104389
Endothelial_cells	std	0.012370230379105179	0.010968205156180097
Endothelial_cells	min	0.0	0.0
Endothelial_cells	25%	0.012163	0.007763
Endothelial_cells	50%	0.018757	0.014278
Endothelial_cells	75%	0.026608	0.0221395
Endothelial_cells	max	0.070642	0.0804
Adipocytes	count	289.0	843.0
Adipocytes	mean	0.00903056401384083	0.007347544483985766
Adipocytes	std	0.012489008868782736	0.01056445679256392
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.0	0.0
Adipocytes	50%	0.0	0.0
Adipocytes	75%	0.018242	0.015088
Adipocytes	max	0.045453	0.048488
Keratinocytes	count	289.0	843.0
Keratinocytes	mean	0.001770193771626298	0.0016585978647686837
Keratinocytes	std	0.0038629298282722557	0.003700671287996363
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.000627	0.0005255
Keratinocytes	max	0.026675	0.023572
Schwann_cells	count	289.0	843.0
Schwann_cells	mean	0.001874584775086505	0.0019253973902728352
Schwann_cells	std	0.004359337836828059	0.0048570398020610795
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0	0.0
Schwann_cells	50%	0.0	0.0
Schwann_cells	75%	0.000625	0.0
Schwann_cells	max	0.025359	0.042269
Smooth_muscle_cells	count	289.0	843.0
Smooth_muscle_cells	mean	0.0025089896193771625	0.002201890865954923
Smooth_muscle_cells	std	0.007247454808741685	0.00568830502286984
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.000229	0.0011135
Smooth_muscle_cells	max	0.047637	0.047969
CD34+	count	289.0	843.0
CD34+	mean	0.010990494809688582	0.005034690391459075
CD34+	std	0.025298458193045787	0.015276026412179197
CD34+	min	0.0	0.0
CD34+	25%	0.0	0.0
CD34+	50%	0.0	0.0
CD34+	75%	0.008589	0.0
CD34+	max	0.215136	0.118867
Platelets	count	289.0	843.0
Platelets	mean	0.06394731141868512	0.055863480427046266
Platelets	std	0.05295705883589566	0.04245998015779691
Platelets	min	0.0	0.0
Platelets	25%	0.025494	0.0243755
Platelets	50%	0.053051	0.047351
Platelets	75%	0.086909	0.07960500000000001
Platelets	max	0.301728	0.343873
Monocytes_CD14+CD16-	count	289.0	843.0
Monocytes_CD14+CD16-	mean	0.20991095501730103	0.22179655634638198
Monocytes_CD14+CD16-	std	0.0742641192659128	0.0721221236007825
Monocytes_CD14+CD16-	min	0.003028	0.0
Monocytes_CD14+CD16-	25%	0.162314	0.17642
Monocytes_CD14+CD16-	50%	0.207652	0.220357
Monocytes_CD14+CD16-	75%	0.250795	0.2653765
Monocytes_CD14+CD16-	max	0.420204	0.475067
Monocytes_CD16+CD14-	count	289.0	843.0
Monocytes_CD16+CD14-	mean	0.0039025155709342557	0.00777361684460261
Monocytes_CD16+CD14-	std	0.01695050183112623	0.02514623465075313
Monocytes_CD16+CD14-	min	0.0	0.0
Monocytes_CD16+CD14-	25%	0.0	0.0
Monocytes_CD16+CD14-	50%	0.0	0.0
Monocytes_CD16+CD14-	75%	0.0	0.0
Monocytes_CD16+CD14-	max	0.165696	0.201199
Macrophage	count	289.0	843.0
Macrophage	mean	0.008362719723183391	0.007973317912218269
Macrophage	std	0.012530024931846701	0.0123721063968322
Macrophage	min	0.0	0.0
Macrophage	25%	0.0	0.0
Macrophage	50%	0.0	0.0
Macrophage	75%	0.01642	0.014371
Macrophage	max	0.062117	0.061846
M1(IFNg)	count	289.0	843.0
M1(IFNg)	mean	0.016732089965397923	0.018183317912218267
M1(IFNg)	std	0.022258007605227788	0.021837687580329022
M1(IFNg)	min	0.0	0.0
M1(IFNg)	25%	0.0	0.0
M1(IFNg)	50%	0.0103	0.010725
M1(IFNg)	75%	0.023481	0.027422000000000002
M1(IFNg)	max	0.133401	0.118604
M2(IL-4)	count	289.0	843.0
M2(IL-4)	mean	0.0014289204152249135	0.002739905100830368
M2(IL-4)	std	0.004635216633575183	0.00717055091937994
M2(IL-4)	min	0.0	0.0
M2(IL-4)	25%	0.0	0.0
M2(IL-4)	50%	0.0	0.0
M2(IL-4)	75%	0.0	0.0
M2(IL-4)	max	0.040929	0.053518
M(IFNa)	count	289.0	843.0
M(IFNa)	mean	0.005164577854671281	0.0025113345195729533
M(IFNa)	std	0.01269033570014149	0.00756624402326248
M(IFNa)	min	0.0	0.0
M(IFNa)	25%	0.0	0.0
M(IFNa)	50%	0.0	0.0
M(IFNa)	75%	0.00162	0.0
M(IFNa)	max	0.075044	0.055545
Dendritic_cells_(BDCA1+)	count	289.0	843.0
Dendritic_cells_(BDCA1+)	mean	6.717301038062284e-05	0.00022866429418742586
Dendritic_cells_(BDCA1+)	std	0.0008140133413915742	0.0021719119028021272
Dendritic_cells_(BDCA1+)	min	0.0	0.0
Dendritic_cells_(BDCA1+)	25%	0.0	0.0
Dendritic_cells_(BDCA1+)	50%	0.0	0.0
Dendritic_cells_(BDCA1+)	75%	0.0	0.0
Dendritic_cells_(BDCA1+)	max	0.012912	0.031589
Dendritic_cells_(BDCA3+)	count	289.0	843.0
Dendritic_cells_(BDCA3+)	mean	6.38719723183391e-05	0.0001990071174377224
Dendritic_cells_(BDCA3+)	std	0.0007702963270512628	0.002295647168869768
Dendritic_cells_(BDCA3+)	min	0.0	0.0
Dendritic_cells_(BDCA3+)	25%	0.0	0.0
Dendritic_cells_(BDCA3+)	50%	0.0	0.0
Dendritic_cells_(BDCA3+)	75%	0.0	0.0
Dendritic_cells_(BDCA3+)	max	0.010151	0.059548
Dendritic_cells_(plasmacytoid+)	count	289.0	843.0
Dendritic_cells_(plasmacytoid+)	mean	0.00862330795847751	0.0077196844602609735
Dendritic_cells_(plasmacytoid+)	std	0.011290775469688324	0.011576521554702526
Dendritic_cells_(plasmacytoid+)	min	0.0	0.0
Dendritic_cells_(plasmacytoid+)	25%	0.0	0.0
Dendritic_cells_(plasmacytoid+)	50%	0.002814	0.0
Dendritic_cells_(plasmacytoid+)	75%	0.013582	0.0133605
Dendritic_cells_(plasmacytoid+)	max	0.057761	0.071739
T_cells_(CD4+)	count	289.0	843.0
T_cells_(CD4+)	mean	0.03529396885813149	0.0528592265717675
T_cells_(CD4+)	std	0.03678452531545099	0.045260944059439284
T_cells_(CD4+)	min	0.0	0.0
T_cells_(CD4+)	25%	0.005056	0.0191745
T_cells_(CD4+)	50%	0.025576	0.041456
T_cells_(CD4+)	75%	0.05198	0.07604649999999999
