		NonSurvivor	Survivor
Age	count	56.0	209.0
Age	mean	69.53571428571429	59.71291866028708
Age	std	11.716289027308457	16.5266066249736
Age	min	29.0	18.0
Age	25%	61.0	48.0
Age	50%	71.0	61.0
Age	75%	78.0	73.0
Age	max	89.0	89.0
MSC	count	56.0	209.0
MSC	mean	0.0009281964285714285	0.0010749234449760766
MSC	std	0.0022165303305321207	0.0022042371617557394
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.00030425000000000005	0.00074
MSC	max	0.011327	0.009567
Bronchial_Epithelial_cells	count	56.0	209.0
Bronchial_Epithelial_cells	mean	0.012673910714285714	0.012586732057416266
Bronchial_Epithelial_cells	std	0.013987794798293112	0.013580420983582326
Bronchial_Epithelial_cells	min	0.0	0.0
Bronchial_Epithelial_cells	25%	0.0016905	8.7e-05
Bronchial_Epithelial_cells	50%	0.008862499999999999	0.008973
Bronchial_Epithelial_cells	75%	0.019097	0.020182
Bronchial_Epithelial_cells	max	0.066911	0.073726
Fibroblasts	count	56.0	209.0
Fibroblasts	mean	0.001034	0.0006077320574162679
Fibroblasts	std	0.0032249836306843197	0.002064753180671332
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.017259	0.011771
Endothelial_cells	count	56.0	209.0
Endothelial_cells	mean	0.029448589285714286	0.024306100478468897
Endothelial_cells	std	0.011670857004875296	0.011247265987633898
Endothelial_cells	min	0.010201	0.0
Endothelial_cells	25%	0.0208625	0.016966
Endothelial_cells	50%	0.0298825	0.024191
Endothelial_cells	75%	0.035513499999999996	0.029832
Endothelial_cells	max	0.070642	0.0804
Adipocytes	count	56.0	209.0
Adipocytes	mean	0.021043517857142858	0.019514827751196173
Adipocytes	std	0.00974063700360705	0.008481465962558233
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.01499125	0.014362
Adipocytes	50%	0.0203435	0.019125
Adipocytes	75%	0.02907725	0.023744
Adipocytes	max	0.045453	0.048488
Keratinocytes	count	56.0	209.0
Keratinocytes	mean	0.0002187857142857143	0.00011985645933014353
Keratinocytes	std	0.0009853148959372553	0.0006191193796192264
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.0	0.0
Keratinocytes	max	0.005885	0.005809
Schwann_cells	count	56.0	209.0
Schwann_cells	mean	0.0020764285714285715	0.0027125598086124403
Schwann_cells	std	0.003575524103259131	0.004823871024506065
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0	0.0
Schwann_cells	50%	0.0	0.0
Schwann_cells	75%	0.003465	0.003741
Schwann_cells	max	0.015993	0.025702
Smooth_muscle_cells	count	56.0	209.0
Smooth_muscle_cells	mean	0.0018257321428571428	0.002109846889952153
Smooth_muscle_cells	std	0.004124623392135099	0.0036198186744725203
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.00119825	0.003374
Smooth_muscle_cells	max	0.019396	0.02159
CD34+	count	56.0	209.0
CD34+	mean	0.004691428571428571	0.005731832535885168
CD34+	std	0.015493332315849637	0.017735017240338113
CD34+	min	0.0	0.0
CD34+	25%	0.0	0.0
CD34+	50%	0.0	0.0
CD34+	75%	0.0	0.0
CD34+	max	0.074887	0.118309
Platelets	count	56.0	209.0
Platelets	mean	0.09036003571428572	0.07954567942583733
Platelets	std	0.04582602147528462	0.037594805365998574
Platelets	min	0.017741	0.0
Platelets	25%	0.06165075	0.055447
Platelets	50%	0.0789445	0.07747
Platelets	75%	0.1170705	0.10143
Platelets	max	0.221913	0.269565
Monocytes_CD14+CD16-	count	56.0	209.0
Monocytes_CD14+CD16-	mean	0.230331375	0.24117541148325355
Monocytes_CD14+CD16-	std	0.06602193316509915	0.06861812407884012
Monocytes_CD14+CD16-	min	0.097626	0.0
Monocytes_CD14+CD16-	25%	0.193708	0.196723
Monocytes_CD14+CD16-	50%	0.23173349999999998	0.244312
Monocytes_CD14+CD16-	75%	0.26738275	0.27784
Monocytes_CD14+CD16-	max	0.404162	0.475067
Monocytes_CD16+CD14-	count	56.0	209.0
Monocytes_CD16+CD14-	mean	0.0005526428571428571	0.002045387559808612
Monocytes_CD16+CD14-	std	0.0020012811299362616	0.008932235201248421
Monocytes_CD16+CD14-	min	0.0	0.0
