		NonSurvivor	Survivor
Age	count	2.0	41.0
Age	mean	66.5	55.8780487804878
Age	std	34.64823227814083	16.25914376889389
Age	min	42.0	24.0
Age	25%	54.25	44.0
Age	50%	66.5	54.0
Age	75%	78.75	70.0
Age	max	91.0	91.0
MSC	count	2.0	41.0
MSC	mean	0.0	0.0
MSC	std	0.0	0.0
MSC	min	0.0	0.0
MSC	25%	0.0	0.0
MSC	50%	0.0	0.0
MSC	75%	0.0	0.0
MSC	max	0.0	0.0
Bronchial_Epithelial_cells	count	2.0	41.0
Bronchial_Epithelial_cells	mean	0.033968	0.005941390243902439
Bronchial_Epithelial_cells	std	0.0014778531726798855	0.00837793983291253
Bronchial_Epithelial_cells	min	0.032923	0.0
Bronchial_Epithelial_cells	25%	0.0334455	0.0
Bronchial_Epithelial_cells	50%	0.033968	2.8e-05
Bronchial_Epithelial_cells	75%	0.0344905	0.010712
Bronchial_Epithelial_cells	max	0.035013	0.03864
Fibroblasts	count	2.0	41.0
Fibroblasts	mean	0.0	0.0
Fibroblasts	std	0.0	0.0
Fibroblasts	min	0.0	0.0
Fibroblasts	25%	0.0	0.0
Fibroblasts	50%	0.0	0.0
Fibroblasts	75%	0.0	0.0
Fibroblasts	max	0.0	0.0
Endothelial_cells	count	2.0	41.0
Endothelial_cells	mean	0.0156465	0.0027813658536585367
Endothelial_cells	std	0.0048500454121585285	0.005685542031135192
Endothelial_cells	min	0.012217	0.0
Endothelial_cells	25%	0.01393175	0.0
Endothelial_cells	50%	0.0156465	0.0
Endothelial_cells	75%	0.017361249999999998	0.003334
Endothelial_cells	max	0.019076	0.023049
Adipocytes	count	2.0	41.0
Adipocytes	mean	0.0	0.0
Adipocytes	std	0.0	0.0
Adipocytes	min	0.0	0.0
Adipocytes	25%	0.0	0.0
Adipocytes	50%	0.0	0.0
Adipocytes	75%	0.0	0.0
Adipocytes	max	0.0	0.0
Keratinocytes	count	2.0	41.0
Keratinocytes	mean	0.0	0.0
Keratinocytes	std	0.0	0.0
Keratinocytes	min	0.0	0.0
Keratinocytes	25%	0.0	0.0
Keratinocytes	50%	0.0	0.0
Keratinocytes	75%	0.0	0.0
Keratinocytes	max	0.0	0.0
Schwann_cells	count	2.0	41.0
Schwann_cells	mean	0.0	0.0
Schwann_cells	std	0.0	0.0
Schwann_cells	min	0.0	0.0
Schwann_cells	25%	0.0	0.0
Schwann_cells	50%	0.0	0.0
Schwann_cells	75%	0.0	0.0
Schwann_cells	max	0.0	0.0
Smooth_muscle_cells	count	2.0	41.0
Smooth_muscle_cells	mean	0.0	8.080487804878049e-05
Smooth_muscle_cells	std	0.0	0.0005174036731369519
Smooth_muscle_cells	min	0.0	0.0
Smooth_muscle_cells	25%	0.0	0.0
Smooth_muscle_cells	50%	0.0	0.0
Smooth_muscle_cells	75%	0.0	0.0
Smooth_muscle_cells	max	0.0	0.003313
CD34+	count	2.0	41.0
CD34+	mean	0.0311925	0.001346658536585366
CD34+	std	0.044112856544322766	0.006992707113878559
CD34+	min	0.0	0.0
CD34+	25%	0.01559625	0.0
